est.E_PC1,est.Com.Size.Gradient,est.n1,E_PC1,Com.Size.Gradient,SD
-4.696132,3.170086,-0.13459703,-1.989466216,7.089678509,6.58451181
-4.613400859,3.170086,-0.010897685,-2.586772026,7.323915676,10.6777742
-4.530669717,3.170086,0.11280166,-3.296324033,6.75671935,9.083237537
-4.447938576,3.170086,0.236501005,-0.921941515,7.15587864,2.274107025
-4.365207434,3.170086,0.36020035,-2.80253119,5.351252085,6.919134136
-4.282476293,3.170086,0.483899695,-1.193652377,6.96389543,11.20908109
-4.199745152,3.170086,0.60759904,-1.292344596,8.566381524,15.64745739
-4.11701401,3.170086,0.731298385,0.870551281,5.992813772,6.926922883
-4.034282869,3.170086,0.85499773,2.723766836,6.77717696,3.448127858
-3.951551727,3.170086,0.978697075,0.474787161,7.02563832,2.866072057
-3.868820586,3.170086,1.10239642,0.648530084,5.97008552,1.570607456
-3.786089444,3.170086,1.226095765,1.080796119,6.213707603,8.134238884
-3.703358303,3.170086,1.34979511,2.058651584,6.822297396,3.370061039
-3.620627162,3.170086,1.473494455,1.093342909,6.782292061,3.180004257
-3.53789602,3.170086,1.5971938,1.784961384,6.812445099,4.535807915
-3.455164879,3.170086,1.720893145,1.553237929,5.752672644,7.009109624
-3.372433737,3.170086,1.84459249,1.674885481,7.072521905,2.612024561
-3.289702596,3.170086,1.968291835,0.119521185,5.08769634,6.34624107
-3.206971455,3.170086,2.09199118,-0.493680313,6.980640954,6.061735336
-3.124240313,3.170086,2.215690525,1.096161359,6.521457239,5.120996653
-3.041509172,3.170086,2.339389869,1.058998183,7.177500669,1.989360657
-2.95877803,3.170086,2.463089214,0.627149464,4.871473232,3.4443809
-2.876046889,3.170086,2.586788559,0.444447221,6.993115128,3.302301157
-2.793315747,3.170086,2.710487904,-0.036037606,6.933523031,2.928979459
-2.710584606,3.170086,2.834187249,2.038436286,9.273556012,1.047398967
-2.627853465,3.170086,2.957886594,1.856968152,5.265377518,7.833831815
-2.545122323,3.170086,3.081585939,0.730541144,7.467756745,1.427528139
-2.462391182,3.170086,3.205285284,1.314555618,5.332818799,3.660961771
-2.37966004,3.170086,3.328984629,0.456111475,5.217749469,2.119752853
-2.296928899,3.170086,3.452683974,0.525357458,6.668963376,3.495566685
-2.214197758,3.170086,3.576383319,0.394825158,5.663060485,3.201897452
-2.131466616,3.170086,3.700082664,0.118197013,4.800014268,5.124868758
-2.048735475,3.170086,3.823782009,-0.187854543,4.069126759,1.311523414
-1.966004333,3.170086,3.947481354,-1.119998594,4.969913305,4.820105499
-1.883273192,3.170086,4.071180699,-1.225666196,4.143234731,3.05374002
-1.800542051,3.170086,4.194880044,-0.282087957,3.450087551,4.371369344
-1.717810909,3.170086,4.318579389,-0.522575597,5.564620412,4.664815703
-1.635079768,3.170086,4.442278734,-4.303147717,4.871473232,2.835008336
-1.552348626,3.170086,4.565978079,-2.490700011,5.631311787,4.047166974
-1.469617485,3.170086,4.689677424,2.152960396,6.534615323,6.768752575
-1.386886343,3.170086,4.813376769,1.966840372,5.886204037,7.310566546
-1.304155202,3.170086,4.937076114,1.78117294,6.950914773,3.734082761
-1.221424061,3.170086,5.060775459,1.165768654,7.102599361,3.935491883
-1.138692919,3.170086,5.184474803,0.910898279,8.493512668,9.05806361
-1.055961778,3.170086,5.308174148,-0.247873184,6.685960952,4.935329581
-0.973230636,3.170086,5.431873493,-0.332748789,7.692441525,4.377502038
