,est.Spatial,est.Com.Size.Gradient,est.n1,E_PC1,Com.Size.Gradient,SD,Spatial
1,-2.352044,3.170086,4.560166174,-1.989466216,7.089678509,6.58451181,0.20229351
101,-2.257141667,3.170086,4.655262406,-2.586772026,7.323915676,10.6777742,0.20229351
201,-2.162239333,3.170086,4.750358637,-3.296324033,6.75671935,9.083237537,0.20229351
301,-2.067337,3.170086,4.845454868,-0.921941515,7.15587864,2.274107025,-2.196807688
401,-1.972434667,3.170086,4.9405511,-2.80253119,5.351252085,6.919134136,-1.502966421
501,-1.877532333,3.170086,5.035647331,-1.193652377,6.96389543,11.20908109,-1.224617394
601,-1.78263,3.170086,5.130743562,-1.292344596,8.566381524,15.64745739,0.20229351
701,-1.687727667,3.170086,5.225839794,0.870551281,5.992813772,6.926922883,2.346372778
801,-1.592825333,3.170086,5.320936025,2.723766836,6.77717696,3.448127858,1.263723302
901,-1.497923,3.170086,5.416032256,0.474787161,7.02563832,2.866072057,1.250878503
1001,-1.403020667,3.170086,5.511128488,0.648530084,5.97008552,1.570607456,1.0289624
1101,-1.308118333,3.170086,5.606224719,1.080796119,6.213707603,8.134238884,0.700694378
1201,-1.213216,3.170086,5.70132095,2.058651584,6.822297396,3.370061039,2.081910545
1301,-1.118313667,3.170086,5.796417182,1.093342909,6.782292061,3.180004257,0.517036371
1401,-1.023411333,3.170086,5.891513413,1.784961384,6.812445099,4.535807915,-0.53789883
1501,-0.928509,3.170086,5.986609644,1.553237929,5.752672644,7.009109624,-1.327017682
1601,-0.833606667,3.170086,6.081705876,1.674885481,7.072521905,2.612024561,-1.335640818
1701,-0.738704333,3.170086,6.176802107,0.119521185,5.08769634,6.34624107,-1.873803486
1801,-0.643802,3.170086,6.271898338,-0.493680313,6.980640954,6.061735336,2.442159324
1901,-0.548899667,3.170086,6.36699457,1.096161359,6.521457239,5.120996653,2.055755577
2001,-0.453997333,3.170086,6.462090801,1.058998183,7.177500669,1.989360657,1.764569718
2101,-0.359095,3.170086,6.557187032,0.627149464,4.871473232,3.4443809,2.319485486
2201,-0.264192667,3.170086,6.652283264,0.444447221,6.993115128,3.302301157,1.492564592
2301,-0.169290333,3.170086,6.747379495,-0.036037606,6.933523031,2.928979459,0.794995786
2401,-0.074388,3.170086,6.842475726,2.038436286,9.273556012,1.047398967,1.686103732
2501,0.020514333,3.170086,6.937571958,1.856968152,5.265377518,7.833831815,0.422892536
2601,0.115416667,3.170086,7.032668189,0.730541144,7.467756745,1.427528139,-0.543823854
2701,0.210319,3.170086,7.12776442,1.314555618,5.332818799,3.660961771,-0.489209182
2801,0.305221333,3.170086,7.222860652,0.456111475,5.217749469,2.119752853,-0.534404581
2901,0.400123667,3.170086,7.317956883,0.525357458,6.668963376,3.495566685,-0.556900427
3001,0.495026,3.170086,7.413053114,0.394825158,5.663060485,3.201897452,-0.08614838
3101,0.589928333,3.170086,7.508149346,0.118197013,4.800014268,5.124868758,-0.392184885
3201,0.684830667,3.170086,7.603245577,-0.187854543,4.069126759,1.311523414,-0.774360884
3301,0.779733,3.170086,7.698341808,-1.119998594,4.969913305,4.820105499,-0.992205052
3401,0.874635333,3.170086,7.79343804,-1.225666196,4.143234731,3.05374002,-1.403062153
3501,0.969537667,3.170086,7.888534271,-0.282087957,3.450087551,4.371369344,-1.63615839
3601,1.06444,3.170086,7.983630502,-0.522575597,5.564620412,4.664815703,-1.658197854
3701,1.159342333,3.170086,8.078726734,-4.303147717,4.871473232,2.835008336,-1.788673975
3801,1.254244667,3.170086,8.173822965,-2.490700011,5.631311787,4.047166974,-2.123197134
3901,1.349147,3.170086,8.268919197,2.152960396,6.534615323,6.768752575,1.319387752
4001,1.444049333,3.170086,8.364015428,1.966840372,5.886204037,7.310566546,2.788624494
4101,1.538951667,3.170086,8.459111659,1.78117294,6.950914773,3.734082761,2.23708901
4201,1.633854,3.170086,8.554207891,1.165768654,7.102599361,3.935491883,0.233111892
4301,1.728756333,3.170086,8.649304122,0.910898279,8.493512668,9.05806361,-0.020137342
4401,1.823658667,3.170086,8.744400353,-0.247873184,6.685960952,4.935329581,-0.032014447
4501,1.918561,3.170086,8.839496585,-0.332748789,7.692441525,4.377502038,-0.197749274
4601,2.013463333,3.170086,8.934592816,-2.408773454,5.000684963,3.132245478,-0.610010843
4701,2.108365667,3.170086,9.029689047,-0.8865671,4.639671618,3.732495115,-1.347885075
4801,2.203268,3.170086,9.124785279,-1.787878563,5.059525463,5.872130389,-2.018372656
4901,2.298170333,3.170086,9.21988151,-2.313799552,5.766857279,2.843597345,-2.352043511
5001,2.393072667,3.170086,9.314977741,2.921692862,4.298795981,11.31735959,7.043286984
5101,2.487975,3.170086,9.410073973,3.494250544,4.605170186,10.52535468,4.857881187
5201,2.582877333,3.170086,9.505170204,3.063568567,3.854864592,5.525601338,2.600419171
5301,2.677779667,3.170086,9.600266435,3.125115441,4.089704183,10.50027477,1.40134489
5401,2.772682,3.170086,9.695362667,1.445569066,4.199705078,8.896243048,0.656067222
5501,2.867584333,3.170086,9.790458898,1.108148437,7.951820121,1.649571706,0.621745285
5601,2.962486667,3.170086,9.885555129,-0.326107722,3.290334789,4.192733164,0.951251973
5701,3.057389,3.170086,9.980651361,0.084104426,4.930031262,6.982772915,0.567533768
5801,3.152291333,3.170086,10.07574759,-0.158008803,3.838691732,7.122219961,0.030516741
5901,3.247193667,3.170086,10.17084382,1.28653814,3.966090227,9.32070532,-0.059143656
6001,3.342096,3.170086,10.26594005,-0.079950831,4.266844381,6.689589676,-0.219389017
6101,3.436998333,3.170086,10.36103629,0.788828937,3.660708577,8.262709242,-0.370402798
6201,3.531900667,3.170086,10.45613252,0.78398094,5.736572298,4.625012618,-0.222591467
6301,3.626803,3.170086,10.55122875,0.04109723,4.949547602,5.544232549,-0.180914716
6401,3.721705333,3.170086,10.64632498,-0.099913033,4.735223314,12.12764875,-0.243642148
6501,3.816607667,3.170086,10.74142121,1.156121538,3.79423997,8.888995873,-0.357591857
6601,3.91151,3.170086,10.83651744,0.84479231,6.160653104,2.807057417,-0.412579888
6701,4.006412333,3.170086,10.93161367,0.345643656,8.28068918,1.338459131,-0.457059826
6801,4.101314667,3.170086,11.02670991,-0.432474216,7.697222231,1.96989292,-0.434218783
6901,4.196217,3.170086,11.12180614,0.374225573,7.786920878,1.406993464,-0.436871752
7001,4.291119333,3.170086,11.21690237,0.518425901,7.547657945,1.221672682,-0.444727336
7101,4.386021667,3.170086,11.3119986,0.127021013,8.175094042,1.762695004,-0.461327317
7201,4.480924,3.170086,11.40709483,0.924429766,8.131530711,2.78204623,-0.492699481
7301,4.575826333,3.170086,11.50219106,-0.129678639,8.108723574,1.194243236,-0.525787278
7401,4.670728667,3.170086,11.59728729,0.243168125,4.680071494,11.24022135,-0.48969721
7501,4.765631,3.170086,11.69238352,-0.404631611,5.837892404,6.880822606,-0.546561194
7601,4.860533333,3.170086,11.78747976,-0.414490625,6.829192957,3.19228822,-0.621037684
7701,4.955435667,3.170086,11.88257599,-1.163046594,7.279318835,3.367347491,-0.669250759
7801,5.050338,3.170086,11.97767222,-1.77307332,7.164763344,2.141524174,-0.704699026
7901,5.145240333,3.170086,12.07276845,-1.475619872,5.291348697,4.833921196,-0.50581066
8001,5.240142667,3.170086,12.16786468,-1.353839177,4.285647508,5.037977063,-1.25204478
8101,5.335045,3.170086,12.26296091,-2.650679732,4.850292644,8.245830498,-1.392224972
8201,5.429947333,3.170086,12.35805714,-1.78890791,4.790573409,10.0496011,-1.466111769
8301,5.524849667,3.170086,12.45315338,-2.746781785,3.854864592,4.308237244,-1.644288408
8401,5.619752,3.170086,12.54824961,-2.983386472,4.112693701,3.167887237,-1.959441207
8501,5.714654333,3.170086,12.64334584,-4.696132127,3.170085661,1.873306886,-2.15993223
8601,5.809556667,3.170086,12.73844207,,,,
8701,5.904459,3.170086,12.8335383,,,,
8801,5.999361333,3.170086,12.92863453,,,,
8901,6.094263667,3.170086,13.02373076,,,,
9001,6.189166,3.170086,13.11882699,,,,
9101,6.284068333,3.170086,13.21392323,,,,
9201,6.378970667,3.170086,13.30901946,,,,
9301,6.473873,3.170086,13.40411569,,,,
9401,6.568775333,3.170086,13.49921192,,,,
9501,6.663677667,3.170086,13.59430815,,,,
9601,6.75858,3.170086,13.68940438,,,,
9701,6.853482333,3.170086,13.78450061,,,,
9801,6.948384667,3.170086,13.87959685,,,,
9901,7.043287,3.170086,13.97469308,,,,
2,-2.352044,3.231737212,4.556583658,,,,
102,-2.257141667,3.231737212,4.650279987,,,,
202,-2.162239333,3.231737212,4.743976315,,,,
302,-2.067337,3.231737212,4.837672643,,,,
402,-1.972434667,3.231737212,4.931368972,,,,
502,-1.877532333,3.231737212,5.0250653,,,,
602,-1.78263,3.231737212,5.118761629,,,,
702,-1.687727667,3.231737212,5.212457957,,,,
802,-1.592825333,3.231737212,5.306154285,,,,
902,-1.497923,3.231737212,5.399850614,,,,
1002,-1.403020667,3.231737212,5.493546942,,,,
1102,-1.308118333,3.231737212,5.58724327,,,,
1202,-1.213216,3.231737212,5.680939599,,,,
1302,-1.118313667,3.231737212,5.774635927,,,,
1402,-1.023411333,3.231737212,5.868332256,,,,
1502,-0.928509,3.231737212,5.962028584,,,,
1602,-0.833606667,3.231737212,6.055724912,,,,
1702,-0.738704333,3.231737212,6.149421241,,,,
1802,-0.643802,3.231737212,6.243117569,,,,
1902,-0.548899667,3.231737212,6.336813897,,,,
2002,-0.453997333,3.231737212,6.430510226,,,,
2102,-0.359095,3.231737212,6.524206554,,,,
2202,-0.264192667,3.231737212,6.617902882,,,,
2302,-0.169290333,3.231737212,6.711599211,,,,
2402,-0.074388,3.231737212,6.805295539,,,,
2502,0.020514333,3.231737212,6.898991868,,,,
2602,0.115416667,3.231737212,6.992688196,,,,
