est.Spatial,est.E_PC1,est.n1,Spatial,E_PC1,SD
-2.352044,-4.696132,5.217600385,0.20229351,-1.989466216,6.58451181
-2.257141667,-4.696132,5.25890246,0.20229351,-2.586772026,10.6777742
-2.162239333,-4.696132,5.300204534,0.20229351,-3.296324033,9.083237537
-2.067337,-4.696132,5.341506608,-2.196807688,-0.921941515,2.274107025
-1.972434667,-4.696132,5.382808682,-1.502966421,-2.80253119,6.919134136
-1.877532333,-4.696132,5.424110756,-1.224617394,-1.193652377,11.20908109
-1.78263,-4.696132,5.46541283,0.20229351,-1.292344596,15.64745739
-1.687727667,-4.696132,5.506714904,2.346372778,0.870551281,6.926922883
-1.592825333,-4.696132,5.548016978,1.263723302,2.723766836,3.448127858
-1.497923,-4.696132,5.589319052,1.250878503,0.474787161,2.866072057
-1.403020667,-4.696132,5.630621126,1.0289624,0.648530084,1.570607456
-1.308118333,-4.696132,5.6719232,0.700694378,1.080796119,8.134238884
-1.213216,-4.696132,5.713225274,2.081910545,2.058651584,3.370061039
-1.118313667,-4.696132,5.754527349,0.517036371,1.093342909,3.180004257
-1.023411333,-4.696132,5.795829423,-0.53789883,1.784961384,4.535807915
-0.928509,-4.696132,5.837131497,-1.327017682,1.553237929,7.009109624
-0.833606667,-4.696132,5.878433571,-1.335640818,1.674885481,2.612024561
-0.738704333,-4.696132,5.919735645,-1.873803486,0.119521185,6.34624107
-0.643802,-4.696132,5.961037719,2.442159324,-0.493680313,6.061735336
-0.548899667,-4.696132,6.002339793,2.055755577,1.096161359,5.120996653
-0.453997333,-4.696132,6.043641867,1.764569718,1.058998183,1.989360657
-0.359095,-4.696132,6.084943941,2.319485486,0.627149464,3.4443809
-0.264192667,-4.696132,6.126246015,1.492564592,0.444447221,3.302301157
-0.169290333,-4.696132,6.167548089,0.794995786,-0.036037606,2.928979459
-0.074388,-4.696132,6.208850163,1.686103732,2.038436286,1.047398967
0.020514333,-4.696132,6.250152238,0.422892536,1.856968152,7.833831815
0.115416667,-4.696132,6.291454312,-0.543823854,0.730541144,1.427528139
0.210319,-4.696132,6.332756386,-0.489209182,1.314555618,3.660961771
0.305221333,-4.696132,6.37405846,-0.534404581,0.456111475,2.119752853
0.400123667,-4.696132,6.415360534,-0.556900427,0.525357458,3.495566685
0.495026,-4.696132,6.456662608,-0.08614838,0.394825158,3.201897452
0.589928333,-4.696132,6.497964682,-0.392184885,0.118197013,5.124868758
0.684830667,-4.696132,6.539266756,-0.774360884,-0.187854543,1.311523414
0.779733,-4.696132,6.58056883,-0.992205052,-1.119998594,4.820105499
0.874635333,-4.696132,6.621870904,-1.403062153,-1.225666196,3.05374002
0.969537667,-4.696132,6.663172978,-1.63615839,-0.282087957,4.371369344
1.06444,-4.696132,6.704475052,-1.658197854,-0.522575597,4.664815703
1.159342333,-4.696132,6.745777127,-1.788673975,-4.303147717,2.835008336
1.254244667,-4.696132,6.787079201,-2.123197134,-2.490700011,4.047166974
1.349147,-4.696132,6.828381275,1.319387752,2.152960396,6.768752575
1.444049333,-4.696132,6.869683349,2.788624494,1.966840372,7.310566546
1.538951667,-4.696132,6.910985423,2.23708901,1.78117294,3.734082761
1.633854,-4.696132,6.952287497,0.233111892,1.165768654,3.935491883
1.728756333,-4.696132,6.993589571,-0.020137342,0.910898279,9.05806361
1.823658667,-4.696132,7.034891645,-0.032014447,-0.247873184,4.935329581
1.918561,-4.696132,7.076193719,-0.197749274,-0.332748789,4.377502038
2.013463333,-4.696132,7.117495793,-0.610010843,-2.408773454,3.132245478
2.108365667,-4.696132,7.158797867,-1.347885075,-0.8865671,3.732495115
2.203268,-4.696132,7.200099941,-2.018372656,-1.787878563,5.872130389
2.298170333,-4.696132,7.241402016,-2.352043511,-2.313799552,2.843597345
2.393072667,-4.696132,7.28270409,7.043286984,2.921692862,11.31735959
2.487975,-4.696132,7.324006164,4.857881187,3.494250544,10.52535468
2.582877333,-4.696132,7.365308238,2.600419171,3.063568567,5.525601338
2.677779667,-4.696132,7.406610312,1.40134489,3.125115441,10.50027477
2.772682,-4.696132,7.447912386,0.656067222,1.445569066,8.896243048
2.867584333,-4.696132,7.48921446,0.621745285,1.108148437,1.649571706
2.962486667,-4.696132,7.530516534,0.951251973,-0.326107722,4.192733164
3.057389,-4.696132,7.571818608,0.567533768,0.084104426,6.982772915
3.152291333,-4.696132,7.613120682,0.030516741,-0.158008803,7.122219961
3.247193667,-4.696132,7.654422756,-0.059143656,1.28653814,9.32070532
3.342096,-4.696132,7.69572483,-0.219389017,-0.079950831,6.689589676
3.436998333,-4.696132,7.737026905,-0.370402798,0.788828937,8.262709242
3.531900667,-4.696132,7.778328979,-0.222591467,0.78398094,4.625012618
3.626803,-4.696132,7.819631053,-0.180914716,0.04109723,5.544232549
3.721705333,-4.696132,7.860933127,-0.243642148,-0.099913033,12.12764875
3.816607667,-4.696132,7.902235201,-0.357591857,1.156121538,8.888995873
3.91151,-4.696132,7.943537275,-0.412579888,0.84479231,2.807057417
4.006412333,-4.696132,7.984839349,-0.457059826,0.345643656,1.338459131
4.101314667,-4.696132,8.026141423,-0.434218783,-0.432474216,1.96989292
4.196217,-4.696132,8.067443497,-0.436871752,0.374225573,1.406993464
4.291119333,-4.696132,8.108745571,-0.444727336,0.518425901,1.221672682
4.386021667,-4.696132,8.150047645,-0.461327317,0.127021013,1.762695004
4.480924,-4.696132,8.191349719,-0.492699481,0.924429766,2.78204623
4.575826333,-4.696132,8.232651794,-0.525787278,-0.129678639,1.194243236
4.670728667,-4.696132,8.273953868,-0.48969721,0.243168125,11.24022135
4.765631,-4.696132,8.315255942,-0.546561194,-0.404631611,6.880822606
4.860533333,-4.696132,8.356558016,-0.621037684,-0.414490625,3.19228822
4.955435667,-4.696132,8.39786009,-0.669250759,-1.163046594,3.367347491
5.050338,-4.696132,8.439162164,-0.704699026,-1.77307332,2.141524174
5.145240333,-4.696132,8.480464238,-0.50581066,-1.475619872,4.833921196
