Site,Lat,Lon,Local.Dist,Elevation,Network,River.dist.lake,Euc.dist.lake,Head.river.dist,New.Net,O.NET,Up.Lake.area.km,Up.Lake.area.m,Catch.Area.m,Catch.Lake.area,OPEN_WATER,BARREN_LAND,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,WOODY_WETLANDS,EMERGENT_HERBACEUOUS_WETLANDS
10029,36.68145,-118.41931,270.93,3547,UP.KERN,29.38,114.85278,1007.38,N.KERN,KERN,0.005751,5751,2697115.478,468.9819993,0,0.16666667,0,0,0.72222222,0.11111111,0,0
10030,36.64441,-118.45005,246.236,3412,UP.KERN,240.901543,216.029665,3354.13134,E.KERN,KERN,0.005109,5109,8251692.307,1615.128657,0,0.2631579,0,0,0.73684211,0,0,0
10031,36.68145,-118.41931,270.93,3547,UP.KERN,29.38,114.85278,1007.38,N.KERN,KERN,0.005751,5751,2697115.478,468.9819993,0,0.16666667,0,0,0.72222222,0.11111111,0,0
10032,36.6425,-118.44654,921.39,3362,UP.KERN,819.313361,677.934299,3354.13134,E.KERN,KERN,0.011985,11985,8251692.307,688.5016526,0,0,0,0,0.9,0.1,0,0
10033,36.6425,-118.44654,921.39,3362,UP.KERN,819.313361,677.934299,3354.13134,E.KERN,KERN,0.011985,11985,8251692.307,688.5016526,0,0,0,0,0.9,0.1,0,0
10034,36.68584,-118.42059,70.653,3600,UP.KERN,49.94,7.94170687,556.94,N.KERN,KERN,0.012682,12682,8984173.719,708.4193123,0.31578947,0.42105263,0,0,0.2631579,0,0,0
10035,36.35622,-118.46818,245.019,3289,LO.KERN,249.35063,233.725651,553.85911,L.KERN,KERN,0.0067553,6755.3,20721012.93,3067.371239,0,0.45,0,0,0.55,0,0,0
10036,36.35144,-118.48074,145.89,3313,LO.KERN,106.074688,100.772289,251.704836,L.KERN,KERN,0.007,7000,20721012.93,2960.144704,0,0.95238095,0,0,0.04761905,0,0,0
10037,36.35622,-118.46818,245.019,3289,LO.KERN,249.35063,233.725651,553.85911,L.KERN,KERN,0.0067553,6755.3,20721012.93,3067.371239,0,0.45,0,0,0.55,0,0,0
10038,36.38089,-118.49249,436.826,3256,LO.KERN,445.346081,404.983756,640.665495,M.KERN,KERN,0.008488,8488,8984173.719,1058.455905,0,0.38095238,0,0,0.57142857,0,0.04761905,0
10039,36.68384,-118.42059,258.81,3542,UP.KERN,272.86,310.117295,779.86,N.KERN,KERN,0.012682,12682,8984173.719,708.4193123,0.35,0.05,0,0,0.4,0.2,0,0
10040,36.36849,-118.48826,85.16,3290,LO.KERN,1.66278768,5.97525692,307.595435,M.KERN,KERN,0.020026,20026,8984173.719,448.6254728,0.1,0.8,0,0,0.1,0,0,0
10041,36.36849,-118.48826,85.16,3290,LO.KERN,1.66278768,5.97525692,307.595435,M.KERN,KERN,0.020026,20026,8984173.719,448.6254728,0.1,0.8,0,0,0.1,0,0,0
10042,36.35144,-118.48074,145.89,3313,LO.KERN,106.074688,100.772289,251.704836,L.KERN,KERN,0.007,7000,20721012.93,2960.144704,0,0.95238095,0,0,0.04761905,0,0,0
10044,36.38089,-118.49249,436.826,3256,LO.KERN,445.346081,404.983756,640.665495,M.KERN,KERN,0.008488,8488,8984173.719,1058.455905,0,0.38095238,0,0,0.57142857,0,0.04761905,0
10046,36.68384,-118.42059,258.81,3542,UP.KERN,272.86,310.117295,779.86,N.KERN,KERN,0.012682,12682,8984173.719,708.4193123,0.31578947,0.42105263,0,0,0.2631579,0,0,0
10047,36.68584,-118.42059,70.653,3600,UP.KERN,49.94,7.94170687,556.94,N.KERN,KERN,0.012682,12682,8984173.719,708.4193123,0.31578947,0.42105263,0,0,0.2631579,0,0,0
10048,36.37786,-118.48802,28.39,3180,LO.KERN,29.1694239,28.0169789,640.665495,M.KERN,KERN,0.015,15000,8984173.719,598.9449146,0,0.2,0,0,0.7,0,0,0.1
10049,36.37786,-118.48802,28.39,3180,LO.KERN,29.1694239,28.0169789,640.665495,M.KERN,KERN,0.015,15000,8984173.719,598.9449146,0,0.2,0,0,0.7,0,0,0.1
10052,36.37528,-118.48959,1070.5,3184,LO.KERN,555.871258,532.627906,770.383023,M.KERN,KERN,0.01648737,16487.37,8984173.719,544.9124826,0,0.2,0,0,0.8,0,0,0
10053,36.64441,-118.45005,246.236,3412,UP.KERN,240.901543,216.029665,3354.13134,E.KERN,KERN,0.005109,5109,8251692.307,1615.128657,0,0.2631579,0,0,0.73684211,0,0,0
