Site,Acentrella,Aedes,Agabus,Agraylea,Alloperla,Allotrichoma,Ameletus,Amphizoa,Antocha,Apatania,Aquarius,Arachnida,Arctocorisa,Atrichopogon,Baetis,Bezzia,Brachycentrus,Calineuria,Callibaetis,Calliperla,Capniidae,Caudatella,Cenocorixa,Centroptilum,Ceratopogon,Ceratopsyche,Chelifera,Cheumatopsyche,Chironomidae,Chrysops,Chyranda,Cinygma,Cinygmula,Claassenia,Cleptelmis,Clinocera,Cenocorixa,Culicoides,Culiseta,Cultus,Desmona,Despaxia,Dicosmoecus,Dicranota,Diphetor,Dixa,Dolichopus,Doroneuria,Drunella,Ecclisomyia,Epeorus,Ephemerella,Euhirudinea,Forcipomyia,Glutops,Graptocorixa,Haploperla,Helodon,Hemerodromia,Hesperoperla,Heterlimnius,Heteroplectron,Hexatoma,Hirudinea,Hydra,Hydroporus,Hydropsyche,Hypsibius,Ironodes,Isoperla,Kogotus,Lednia,Lepidostoma,Leucorrhinia,Limnophila,Limnophora,Limonia,Malenka,Megarcys,Metacnephia,Micrasema,Monohelea,Monophilus,Muscidae,Nectopsyche,Nematomorpha,Nemertea,Neoplasta,Neothremma,Nixe,Ochrotrichia,Oligochaeta,Onocosmoecus,Optioservus,Oreodytes,Oreogeton,Ormosia,Ostracoda,Palpomyia,Paraleptophlebia,Paraperla,Parapsyche,Pedicia,Pisidium,Pleuroceridae,Polycentropus,Procloeon,Prosimulium,Psychoglypha,Rhabdomastix,Rhithrogena,Rhizelmis,Rhyacophila,Sanfilippodytes,Sciara,Serratella,Sialis,Simulium,Siphlonurus,Skwala,Soyedina,Stegopterna,Stictotarsus,Stilobezzia,Suwallia,Sweltsa,Tabanus,Tipula,Turbellaria,Wiedeman,Yoraperla,Zapada,Arctopsyche,Blephariceridae,Deuterophlebia,Narpus,Perlinodes,Orohermes,Planorbidae,Wormaldia
CLS5_1 ,0,0,0,0,0,0,0,0,0,0,0,22.50225023,0,0,238.5238524,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,387.0387039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,94.50945095,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,121.5121512,0,0,0,0,0,36.00360036,0,27.00270027,0,0,0,162.0162016,0,0,0,0,0,0,0,9.00090009,27.00270027,0,0,22.50225023,0,49.5049505,0,0,0,0,0,0,0,0,0,0,0,0,0,31.50315032,0,0,0,0,0,0,0,0
CLS4_3,0,0,0,0,0,0,4.500450045,0,0,0,0,4.500450045,0,0,148.5148515,0,0,4.500450045,31.50315032,0,0,0,0,0,0,0,0,13.50135014,1305.130513,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,36.00360036,0,0,0,0,0,0,0,0,0,0,0,0,0,54.00540054,0,0,0,0,0,0,0,0
CLS4_2,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,643.5643564,0,0,0,180.0180018,0,0,0,0,0,0,0,0,40.50405041,949.5949595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,36.00360036,0,0,0,4.500450045,0,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,49.5049505,0,0,0,0,0,0,0,0,0,0,49.5049505,0,0,72.00720072,0,0,0,0,0,0,0,0
CLS4_1,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,36.00360036,0,0,0,0,0,0,0,0,0,0,0,0,0,751.5751575,0,0,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.0369037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,27.00270027,0,0,0,0,31.50315032,0,0,0,0,0,0,0,0,0,0,0,121.5121512,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,598.559856,0,0,0,9.00090009,0,0,0,0,0,0,18.00180018,0,0,13.50135014,0,0,0,0,0,0,0,0
CLS3_3,9.00090009,0,0,18.00180018,0,0,0,0,0,4.500450045,0,18.00180018,0,0,1161.116112,0,0,0,270.0270027,0,0,0,0,310.5310531,0,0,0,81.00810081,1219.621962,0,0,0,0,49.5049505,45.00450045,0,0,0,0,0,0,0,0,0,522.0522052,0,0,31.50315032,0,0,0,9.00090009,0,0,0,0,0,94.50945095,0,0,0,0,0,0,0,0,9.00090009,0,9.00090009,27.00270027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.50315032,0,0,0,0,463.5463546,0,76.50765077,0,0,0,0,0,31.50315032,0,0,0,1417.641764,0,0,0,0,0,0,238.5238524,0,18.00180018,0,0,0,0,63.00630063,18.00180018,0,0,0,0,0,0,0,0,0,243.0243024,0,0,337.5337534,0,0,0,0,0,0,0,0
CLS3_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.50315032,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,166.5166517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5049505,0,0,0,0,0,0,0,0,0,0,0,0,175.5175518,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,378.0378038,0,0,0,9.00090009,0,0,0,0,4.500450045,0,0,0,0,85.50855086,0,0,0,0,0,0,0,0,0,0,36.00360036,0,0,45.00450045,0,0,0,0,0,0,0,0
CLS3_1,0,4.500450045,0,0,0,0,18.00180018,0,0,0,0,0,0,0,58.50585059,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5184518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,1197.119712,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0144014,85.50855086,0,0,0,4.500450045,0,0,0,0,0,0,0,148.5148515,0,0,0,18.00180018,0,0,0,0,18.00180018,0,0,0,0,454.5454545,0,0,0,31.50315032,0,0,0,0,0,0,49.5049505,0,0,81.00810081,0,0,0,0,0,0,0,0
CLS2_3,9.00090009,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,648.0648065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.5256526,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0
CLS2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,166.5166517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.00270027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50225023,0,0,0,0,22.50225023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.00450045,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLS1_3,0,0,0,0,0,0,0,0,0,0,0,18.00180018,0,0,4.500450045,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,1399.639964,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,36.00360036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,22.50225023,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.00540054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0
CLS1_1,0,0,0,0,0,0,0,0,0,0,0,58.50585059,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,2101.710171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,13.50135014,0,0,234.0234023,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,31.50315032,0,0,0,0,0,0,0,0
ELS8_3,9.00090009,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,76.50765077,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,432.0432043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00180018,4.500450045,0,0,0,0,0,0,0,0,0,0,243.0243024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50225023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,459.0459046,0,0,0,0,0,0,0,31.50315032,81.00810081,0,0,0,0,81.00810081,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0
ELS8_2,4.500450045,0,0,22.50225023,0,0,0,0,9.00090009,0,0,0,0,0,63.00630063,0,0,0,4.500450045,4.500450045,0,0,0,0,0,0,0,0,463.5463546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,49.5049505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,364.5364536,0,0,0,0,0,0,0,0,45.00450045,0,0,0,0,85.50855086,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS8_1,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949.5949595,0,0,0,0,0,0,0,0,31.50315032,0,0,0,0,324.0324032,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0
ELS7_3,4.500450045,0,0,4.500450045,0,0,0,0,4.500450045,0,0,0,0,0,31.50315032,0,0,0,0,0,0,0,0,0,0,0,0,0,958.5958596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,90.0090009,0,0,0,0,0,0,0,4.500450045,0,0,0,76.50765077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0
ELS7_2,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,49.5049505,0,0,0,0,0,0,0,0,0,0,0,0,0,2281.728173,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.559856,0,0,0,148.5148515,0,0,0,0,0,0,0,0,0,270.0270027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.50765077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.5283528,0,0,0,292.5292529,0,0,0,0,0,0,0,0,0,450.0450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS6_3,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,76.50765077,0,0,0,0,0,0,0,0,0,0,0,0,0,166.5166517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10571.55716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS6_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50225023,0,0,4.500450045,0,0,0,0,0,9.00090009,0,0,0,0,216.0216022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,58.50585059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,31.50315032,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,27.00270027,0,0,0,0,0,0,0,0
ELS6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,436.5436544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602.160216,0,0,0,31.50315032,0,0,0,0,4.500450045,0,0,0,0,108.0108011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS5_3,0,0,0,9.00090009,0,0,0,0,0,0,0,18.00180018,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,0,0,0,139.5139514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,135.0135014,0,0,0,13.50135014,0,0,0,0,9.00090009,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS5_2,0,0,0,4.500450045,0,0,0,0,0,0,0,22.50225023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.5265527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,148.5148515,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS5_1,13.50135014,0,0,0,0,0,0,0,0,0,0,94.50945095,0,0,22.50225023,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,256.5256526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,49.5049505,0,0,0,40.50405041,0,0,0,0,0,0,0,504.050405,0,0,0,94.50945095,0,0,0,0,4.500450045,0,0,0,0,90.0090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS4_3,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,45.00450045,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5436544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,18.00180018,0,0,0,0,0,0,0,193.5193519,0,0,0,4.500450045,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0
ELS4_2,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,45.00450045,0,0,0,0,0,0,0,0,0,0,0,0,0,387.0387039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.00270027,0,0,0,0,0,4.500450045,0,0,0,0,18.00180018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,0
ELS4_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.5211521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,0,0,0,0,54.00540054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELS3_3,9.00090009,0,0,0,0,0,0,0,0,0,0,54.00540054,0,0,58.50585059,0,0,0,0,0,0,0,0,0,0,0,0,0,463.5463546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.500450045,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.50405041,0,0,0,0,0,0,0,0
ELS3_2,4.500450045,0,0,0,0,0,0,0,0,0,0,0,0,0,13.50135014,0,0,0,0,0,0,0,0,0,0,0,0,0,220.5220522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.00360036,0,0,0,0,0,0,0,0
