est.River.dist.lake,est.Head.river.dist,est.n1,River.dist.lake,Euc.dist.lake,Head.river.dist,SD
0.6931472,5.332341,4.622737599,3.413784497,4.752320247,6.916100362,3.309313743
0.783353433,5.332341,4.595970461,5.488530796,5.380034049,8.118246196,3.238633479
0.873559667,5.332341,4.569203324,3.413784497,4.752320247,6.916100362,4.554963095
0.9637659,5.332341,4.542436187,6.709686415,6.520524361,8.118246196,3.411494485
1.053972133,5.332341,4.515669049,6.709686415,6.520524361,8.118246196,4.009057183
1.144178367,5.332341,4.488901912,3.93064847,2.190726496,6.32425143,3.634616501
1.2343846,5.332341,4.462134775,5.522862455,5.45841739,6.318714226,4.097749354
1.324590833,5.332341,4.435367638,4.67352661,4.622737857,5.532222152,2.452185425
1.414797067,5.332341,4.4086005,5.522862455,5.45841739,6.318714226,1.807101211
1.5050033,5.332341,4.381833363,6.101094617,6.006313149,6.464067132,3.751364046
1.595209533,5.332341,4.355066226,5.612617027,5.740169995,6.660395876,1.990564875
1.685415767,5.332341,4.328299088,0.979373574,1.942369161,5.732031147,3.264484346
1.775622,5.332341,4.301531951,0.979373574,1.942369161,5.732031147,2.913352453
1.865828233,5.332341,4.274764814,4.67352661,4.622737857,5.532222152,2.785347408
1.956034467,5.332341,4.247997676,6.101094617,6.006313149,6.464067132,5.344404449
2.0462407,5.332341,4.221230539,5.612617027,5.740169995,6.660395876,3.536473939
2.136446933,5.332341,4.194463402,3.93064847,2.190726496,6.32425143,3.131026066
2.226653167,5.332341,4.167696265,3.406828958,3.367881138,6.464067132,8.275904682
2.3168594,5.332341,4.140929127,3.406828958,3.367881138,6.464067132,2.852205815
2.407065633,5.332341,4.11416199,6.322334079,6.279698791,6.648185037,5.844601953
2.497271867,5.332341,4.087394853,5.488530796,5.380034049,8.118246196,3.393968667
2.5874781,5.332341,4.060627715,5.443528959,5.444124725,6.329939735,2.982244546
2.677684333,5.332341,4.033860578,5.443528959,5.444124725,6.329939735,3.610822417
