est.Com.Size.Gradient,est.E_PC1,est.beta,Com.Size.Gradient,E_PC1,BD
3.170086,-4.696132,0.014227927,7.089678509,-1.989466216,0.009693556
3.231737212,-4.696132,0.014172272,7.323915676,-2.586772026,0.008994834
3.293388424,-4.696132,0.014116834,6.75671935,-3.296324033,0.006863772
3.355039636,-4.696132,0.014061613,7.15587864,-0.921941515,0.016239672
3.416690848,-4.696132,0.014006608,5.351252085,-2.80253119,0.016140126
3.478342061,-4.696132,0.013951818,6.96389543,-1.193652377,0.006912192
3.539993273,-4.696132,0.013897243,8.566381524,-1.292344596,0.010736344
3.601644485,-4.696132,0.013842881,5.992813772,0.870551281,0.010855027
3.663295697,-4.696132,0.013788732,6.77717696,2.723766836,0.0084948
3.724946909,-4.696132,0.013734795,7.02563832,0.474787161,0.009221001
3.786598121,-4.696132,0.013681068,5.97008552,0.648530084,0.010692385
3.848249333,-4.696132,0.013627552,6.213707603,1.080796119,0.008524988
3.909900545,-4.696132,0.013574245,6.822297396,2.058651584,0.006838596
3.971551758,-4.696132,0.013521147,6.782292061,1.093342909,0.008403045
4.03320297,-4.696132,0.013468256,6.812445099,1.784961384,0.009299404
4.094854182,-4.696132,0.013415572,5.752672644,1.553237929,0.007800836
4.156505394,-4.696132,0.013363094,7.072521905,1.674885481,0.011867118
4.218156606,-4.696132,0.013310822,5.08769634,0.119521185,0.009608436
4.279807818,-4.696132,0.013258754,6.980640954,-0.493680313,0.006213114
4.34145903,-4.696132,0.01320689,6.521457239,1.096161359,0.005295628
4.403110242,-4.696132,0.013155228,7.177500669,1.058998183,0.00736426
4.464761455,-4.696132,0.013103769,4.871473232,0.627149464,0.007755195
4.526412667,-4.696132,0.013052511,6.993115128,0.444447221,0.006276693
4.588063879,-4.696132,0.013001453,6.933523031,-0.036037606,0.009200088
4.649715091,-4.696132,0.012950595,9.273556012,2.038436286,0.011875597
4.711366303,-4.696132,0.012899937,5.265377518,1.856968152,0.008383041
4.773017515,-4.696132,0.012849476,7.467756745,0.730541144,0.008739841
4.834668727,-4.696132,0.012799212,5.332818799,1.314555618,0.006284604
4.896319939,-4.696132,0.012749146,5.217749469,0.456111475,0.009036288
4.957971152,-4.696132,0.012699275,6.668963376,0.525357458,0.007106355
5.019622364,-4.696132,0.012649599,5.663060485,0.394825158,0.006912156
5.081273576,-4.696132,0.012600118,4.800014268,0.118197013,0.011433426
5.142924788,-4.696132,0.01255083,4.069126759,-0.187854543,0.011152682
5.204576,-4.696132,0.012501735,4.969913305,-1.119998594,0.010735086
5.266227212,-4.696132,0.012452832,4.143234731,-1.225666196,0.013297827
5.327878424,-4.696132,0.01240412,3.450087551,-0.282087957,0.009403788
5.389529636,-4.696132,0.012355599,5.564620412,-0.522575597,0.013706838
5.451180848,-4.696132,0.012307267,4.871473232,-4.303147717,0.014195951
5.512832061,-4.696132,0.012259125,5.631311787,-2.490700011,0.012288265
5.574483273,-4.696132,0.012211171,6.534615323,2.152960396,0.004910193
5.636134485,-4.696132,0.012163404,5.886204037,1.966840372,0.008710144
5.697785697,-4.696132,0.012115825,6.950914773,1.78117294,0.009525409
5.759436909,-4.696132,0.012068431,7.102599361,1.165768654,0.008701582
5.821088121,-4.696132,0.012021223,8.493512668,0.910898279,0.006934986
5.882739333,-4.696132,0.0119742,6.685960952,-0.247873184,0.00661485
5.944390545,-4.696132,0.01192736,7.692441525,-0.332748789,0.010314288
6.006041758,-4.696132,0.011880704,5.000684963,-2.408773454,0.015027118
6.06769297,-4.696132,0.01183423,4.639671618,-0.8865671,0.013754164
6.129344182,-4.696132,0.011787938,5.059525463,-1.787878563,0.015098961
6.190995394,-4.696132,0.011741827,5.766857279,-2.313799552,0.016097595
6.252646606,-4.696132,0.011695897,4.298795981,2.921692862,0.007875537
6.314297818,-4.696132,0.011650146,4.605170186,3.494250544,0.010295291
6.37594903,-4.696132,0.011604574,3.854864592,3.063568567,0.01165411
6.437600242,-4.696132,0.01155918,4.089704183,3.125115441,0.008480828
6.499251455,-4.696132,0.011513964,4.199705078,1.445569066,0.009836815
6.560902667,-4.696132,0.011468925,7.951820121,1.108148437,0.009920069
6.622553879,-4.696132,0.011424062,3.290334789,-0.326107722,0.012637753
6.684205091,-4.696132,0.011379374,4.930031262,0.084104426,0.011315882
6.745856303,-4.696132,0.011334862,3.838691732,-0.158008803,0.013408845
6.807507515,-4.696132,0.011290523,3.966090227,1.28653814,0.00995814
6.869158727,-4.696132,0.011246358,4.266844381,-0.079950831,0.010900887
6.930809939,-4.696132,0.011202365,3.660708577,0.788828937,0.010772741
6.992461152,-4.696132,0.011158545,5.736572298,0.78398094,0.004817949
7.054112364,-4.696132,0.011114896,4.949547602,0.04109723,0.008686311
7.115763576,-4.696132,0.011071418,4.735223314,-0.099913033,0.006403354
7.177414788,-4.696132,0.01102811,3.79423997,1.156121538,0.006586863
7.239066,-4.696132,0.010984971,6.160653104,0.84479231,0.006522927
7.300717212,-4.696132,0.010942001,8.28068918,0.345643656,0.009586839
7.362368424,-4.696132,0.010899199,7.697222231,-0.432474216,0.007941173
7.424019636,-4.696132,0.010856565,7.786920878,0.374225573,0.009479045
7.485670848,-4.696132,0.010814097,7.547657945,0.518425901,0.010643624
7.547322061,-4.696132,0.010771796,8.175094042,0.127021013,0.008245097
7.608973273,-4.696132,0.01072966,8.131530711,0.924429766,0.006973762
7.670624485,-4.696132,0.010687688,8.108723574,-0.129678639,0.010916999
7.732275697,-4.696132,0.010645881,4.680071494,0.243168125,0.007481045
7.793926909,-4.696132,0.010604238,5.837892404,-0.404631611,0.006917839
7.855578121,-4.696132,0.010562757,6.829192957,-0.414490625,0.006607877
7.917229333,-4.696132,0.010521439,7.279318835,-1.163046594,0.008033274
7.978880545,-4.696132,0.010480282,7.164763344,-1.77307332,0.007490515
8.040531758,-4.696132,0.010439286,5.291348697,-1.475619872,0.00592802
8.10218297,-4.696132,0.010398451,4.285647508,-1.353839177,0.008387229
8.163834182,-4.696132,0.010357775,4.850292644,-2.650679732,0.008183039
8.225485394,-4.696132,0.010317259,4.790573409,-1.78890791,0.00842914
8.287136606,-4.696132,0.010276901,3.854864592,-2.746781785,0.010503709
8.348787818,-4.696132,0.010236701,4.112693701,-2.983386472,0.009951161
8.41043903,-4.696132,0.010196658,3.170085661,-4.696132127,0.013203212
8.472090242,-4.696132,0.010156771,,,
8.533741455,-4.696132,0.010117041,,,
8.595392667,-4.696132,0.010077466,,,
8.657043879,-4.696132,0.010038046,,,
8.718695091,-4.696132,0.00999878,,,
8.780346303,-4.696132,0.009959668,,,
8.841997515,-4.696132,0.009920709,,,
8.903648727,-4.696132,0.009881902,,,
8.965299939,-4.696132,0.009843247,,,
9.026951152,-4.696132,0.009804743,,,
9.088602364,-4.696132,0.00976639,,,
9.150253576,-4.696132,0.009728187,,,
9.211904788,-4.696132,0.009690133,,,
9.273556,-4.696132,0.009652228,,,
3.170086,-4.613400859,0.014149978,,,
3.231737212,-4.613400859,0.01409502,,,
3.293388424,-4.613400859,0.014040275,,,
3.355039636,-4.613400859,0.013985743,,,
3.416690848,-4.613400859,0.013931423,,,
3.478342061,-4.613400859,0.013877313,,,
3.539993273,-4.613400859,0.013823414,,,
3.601644485,-4.613400859,0.013769724,,,
3.663295697,-4.613400859,0.013716243,,,
3.724946909,-4.613400859,0.013662969,,,
3.786598121,-4.613400859,0.013609902,,,
3.848249333,-4.613400859,0.013557041,,,
3.909900545,-4.613400859,0.013504386,,,
3.971551758,-4.613400859,0.013451935,,,
4.03320297,-4.613400859,0.013399688,,,
4.094854182,-4.613400859,0.013347644,,,
4.156505394,-4.613400859,0.013295802,,,
4.218156606,-4.613400859,0.013244161,,,
4.279807818,-4.613400859,0.013192721,,,
4.34145903,-4.613400859,0.013141481,,,
4.403110242,-4.613400859,0.013090439,,,
4.464761455,-4.613400859,0.013039596,,,
4.526412667,-4.613400859,0.012988951,,,
4.588063879,-4.613400859,0.012938502,,,
4.649715091,-4.613400859,0.012888249,,,
4.711366303,-4.613400859,0.012838191,,,
4.773017515,-4.613400859,0.012788328,,,
4.834668727,-4.613400859,0.012738658,,,
4.896319939,-4.613400859,0.012689181,,,
4.957971152,-4.613400859,0.012639897,,,
5.019622364,-4.613400859,0.012590804,,,
5.081273576,-4.613400859,0.012541901,,,
5.142924788,-4.613400859,0.012493189,,,
5.204576,-4.613400859,0.012444665,,,
5.266227212,-4.613400859,0.01239633,,,
5.327878424,-4.613400859,0.012348183,,,
5.389529636,-4.613400859,0.012300223,,,
5.451180848,-4.613400859,0.012252449,,,
5.512832061,-4.613400859,0.012204861,,,
5.574483273,-4.613400859,0.012157457,,,
5.636134485,-4.613400859,0.012110238,,,
5.697785697,-4.613400859,0.012063202,,,
5.759436909,-4.613400859,0.012016349,,,
5.821088121,-4.613400859,0.011969677,,,
5.882739333,-4.613400859,0.011923187,,,
5.944390545,-4.613400859,0.011876878,,,
6.006041758,-4.613400859,0.011830748,,,
6.06769297,-4.613400859,0.011784798,,,
6.129344182,-4.613400859,0.011739026,,,
6.190995394,-4.613400859,0.011693431,,,
6.252646606,-4.613400859,0.011648014,,,
6.314297818,-4.613400859,0.011602774,,,
6.37594903,-4.613400859,0.011557709,,,
6.437600242,-4.613400859,0.011512819,,,
6.499251455,-4.613400859,0.011468103,,,
6.560902667,-4.613400859,0.011423561,,,
6.622553879,-4.613400859,0.011379192,,,
6.684205091,-4.613400859,0.011334996,,,
6.745856303,-4.613400859,0.011290971,,,
6.807507515,-4.613400859,0.011247117,,,
6.869158727,-4.613400859,0.011203433,,,
6.930809939,-4.613400859,0.011159919,,,
6.992461152,-4.613400859,0.011116574,,,
7.054112364,-4.613400859,0.011073397,,,
7.115763576,-4.613400859,0.011030389,,,
7.177414788,-4.613400859,0.010987547,,,
7.239066,-4.613400859,0.010944871,,,
7.300717212,-4.613400859,0.010902361,,,
7.362368424,-4.613400859,0.010860017,,,
7.424019636,-4.613400859,0.010817837,,,
7.485670848,-4.613400859,0.01077582,,,
7.547322061,-4.613400859,0.010733967,,,
7.608973273,-4.613400859,0.010692277,,,
7.670624485,-4.613400859,0.010650748,,,
7.732275697,-4.613400859,0.010609381,,,
7.793926909,-4.613400859,0.010568174,,,
7.855578121,-4.613400859,0.010527127,,,
7.917229333,-4.613400859,0.01048624,,,
7.978880545,-4.613400859,0.010445512,,,
8.040531758,-4.613400859,0.010404942,,,
8.10218297,-4.613400859,0.010364529,,,
8.163834182,-4.613400859,0.010324273,,,
8.225485394,-4.613400859,0.010284174,,,
8.287136606,-4.613400859,0.01024423,,,
8.348787818,-4.613400859,0.010204442,,,
8.41043903,-4.613400859,0.010164808,,,
8.472090242,-4.613400859,0.010125328,,,
8.533741455,-4.613400859,0.010086001,,,
8.595392667,-4.613400859,0.010046828,,,
8.657043879,-4.613400859,0.010007806,,,
8.718695091,-4.613400859,0.009968936,,,
8.780346303,-4.613400859,0.009930216,,,
8.841997515,-4.613400859,0.009891648,,,
8.903648727,-4.613400859,0.009853229,,,
8.965299939,-4.613400859,0.009814959,,,
9.026951152,-4.613400859,0.009776838,,,
9.088602364,-4.613400859,0.009738865,,,
9.150253576,-4.613400859,0.009701039,,,
9.211904788,-4.613400859,0.00966336,,,
9.273556,-4.613400859,0.009625828,,,
3.170086,-4.530669717,0.014072457,,,
3.231737212,-4.530669717,0.01401819,,,
3.293388424,-4.530669717,0.013964132,,,
3.355039636,-4.530669717,0.013910283,,,
3.416690848,-4.530669717,0.013856641,,,
3.478342061,-4.530669717,0.013803206,,,
3.539993273,-4.530669717,0.013749977,,,
3.601644485,-4.530669717,0.013696953,,,
3.663295697,-4.530669717,0.013644134,,,
3.724946909,-4.530669717,0.013591519,,,
3.786598121,-4.530669717,0.013539106,,,
3.848249333,-4.530669717,0.013486896,,,
3.909900545,-4.530669717,0.013434887,,,
3.971551758,-4.530669717,0.013383078,,,
4.03320297,-4.530669717,0.01333147,,,
4.094854182,-4.530669717,0.01328006,,,
4.156505394,-4.530669717,0.013228848,,,
4.218156606,-4.530669717,0.013177834,,,
4.279807818,-4.530669717,0.013127017,,,
4.34145903,-4.530669717,0.013076396,,,
4.403110242,-4.530669717,0.01302597,,,
4.464761455,-4.530669717,0.012975738,,,
4.526412667,-4.530669717,0.0129257,,,
4.588063879,-4.530669717,0.012875855,,,
4.649715091,-4.530669717,0.012826203,,,
4.711366303,-4.530669717,0.012776741,,,
4.773017515,-4.530669717,0.012727471,,,
4.834668727,-4.530669717,0.01267839,,,
4.896319939,-4.530669717,0.012629499,,,
4.957971152,-4.530669717,0.012580796,,,
5.019622364,-4.530669717,0.012532281,,,
5.081273576,-4.530669717,0.012483954,,,
5.142924788,-4.530669717,0.012435812,,,
5.204576,-4.530669717,0.012387856,,,
5.266227212,-4.530669717,0.012340085,,,
5.327878424,-4.530669717,0.012292499,,,
5.389529636,-4.530669717,0.012245096,,,
5.451180848,-4.530669717,0.012197875,,,
5.512832061,-4.530669717,0.012150837,,,
5.574483273,-4.530669717,0.01210398,,,
5.636134485,-4.530669717,0.012057304,,,
5.697785697,-4.530669717,0.012010808,,,
5.759436909,-4.530669717,0.011964491,,,
5.821088121,-4.530669717,0.011918353,,,
5.882739333,-4.530669717,0.011872392,,,
5.944390545,-4.530669717,0.011826609,,,
6.006041758,-4.530669717,0.011781002,,,
6.06769297,-4.530669717,0.011735572,,,
6.129344182,-4.530669717,0.011690316,,,
6.190995394,-4.530669717,0.011645235,,,
6.252646606,-4.530669717,0.011600328,,,
6.314297818,-4.530669717,0.011555594,,,
6.37594903,-4.530669717,0.011511033,,,
6.437600242,-4.530669717,0.011466643,,,
6.499251455,-4.530669717,0.011422425,,,
6.560902667,-4.530669717,0.011378377,,,
6.622553879,-4.530669717,0.011334499,,,
6.684205091,-4.530669717,0.01129079,,,
6.745856303,-4.530669717,0.01124725,,,
6.807507515,-4.530669717,0.011203877,,,
6.869158727,-4.530669717,0.011160672,,,
6.930809939,-4.530669717,0.011117633,,,
6.992461152,-4.530669717,0.011074761,,,
7.054112364,-4.530669717,0.011032054,,,
7.115763576,-4.530669717,0.010989511,,,
7.177414788,-4.530669717,0.010947133,,,
7.239066,-4.530669717,0.010904918,,,
7.300717212,-4.530669717,0.010862865,,,
7.362368424,-4.530669717,0.010820975,,,
7.424019636,-4.530669717,0.010779247,,,
7.485670848,-4.530669717,0.010737679,,,
7.547322061,-4.530669717,0.010696272,,,
7.608973273,-4.530669717,0.010655024,,,
7.670624485,-4.530669717,0.010613935,,,
7.732275697,-4.530669717,0.010573005,,,
7.793926909,-4.530669717,0.010532233,,,
7.855578121,-4.530669717,0.010491618,,,
7.917229333,-4.530669717,0.010451159,,,
7.978880545,-4.530669717,0.010410857,,,
8.040531758,-4.530669717,0.01037071,,,
8.10218297,-4.530669717,0.010330717,,,
8.163834182,-4.530669717,0.010290879,,,
8.225485394,-4.530669717,0.010251195,,,
8.287136606,-4.530669717,0.010211664,,,
8.348787818,-4.530669717,0.010172285,,,
8.41043903,-4.530669717,0.010133058,,,
8.472090242,-4.530669717,0.010093982,,,
8.533741455,-4.530669717,0.010055057,,,
8.595392667,-4.530669717,0.010016282,,,
8.657043879,-4.530669717,0.009977656,,,
8.718695091,-4.530669717,0.00993918,,,
8.780346303,-4.530669717,0.009900852,,,
8.841997515,-4.530669717,0.009862671,,,
8.903648727,-4.530669717,0.009824638,,,
8.965299939,-4.530669717,0.009786752,,,
9.026951152,-4.530669717,0.009749012,,,
9.088602364,-4.530669717,0.009711417,,,
9.150253576,-4.530669717,0.009673967,,,
9.211904788,-4.530669717,0.009636662,,,
9.273556,-4.530669717,0.0095995,,,
3.170086,-4.447938576,0.01399536,,,
3.231737212,-4.447938576,0.013941778,,,
3.293388424,-4.447938576,0.013888402,,,
3.355039636,-4.447938576,0.013835229,,,
3.416690848,-4.447938576,0.01378226,,,
3.478342061,-4.447938576,0.013729494,,,
3.539993273,-4.447938576,0.01367693,,,
3.601644485,-4.447938576,0.013624567,,,
3.663295697,-4.447938576,0.013572405,,,
3.724946909,-4.447938576,0.013520442,,,
3.786598121,-4.447938576,0.013468679,,,
3.848249333,-4.447938576,0.013417113,,,
3.909900545,-4.447938576,0.013365745,,,
3.971551758,-4.447938576,0.013314574,,,
4.03320297,-4.447938576,0.013263598,,,
4.094854182,-4.447938576,0.013212818,,,
4.156505394,-4.447938576,0.013162232,,,
4.218156606,-4.447938576,0.01311184,,,
4.279807818,-4.447938576,0.013061641,,,
4.34145903,-4.447938576,0.013011633,,,
4.403110242,-4.447938576,0.012961818,,,
4.464761455,-4.447938576,0.012912193,,,
4.526412667,-4.447938576,0.012862758,,,
4.588063879,-4.447938576,0.012813512,,,
4.649715091,-4.447938576,0.012764455,,,
4.711366303,-4.447938576,0.012715586,,,
4.773017515,-4.447938576,0.012666903,,,
4.834668727,-4.447938576,0.012618408,,,
4.896319939,-4.447938576,0.012570097,,,
4.957971152,-4.447938576,0.012521972,,,
5.019622364,-4.447938576,0.012474031,,,
5.081273576,-4.447938576,0.012426274,,,
5.142924788,-4.447938576,0.012378699,,,
5.204576,-4.447938576,0.012331307,,,
5.266227212,-4.447938576,0.012284096,,,
5.327878424,-4.447938576,0.012237065,,,
5.389529636,-4.447938576,0.012190215,,,
5.451180848,-4.447938576,0.012143544,,,
5.512832061,-4.447938576,0.012097052,,,
5.574483273,-4.447938576,0.012050738,,,
5.636134485,-4.447938576,0.012004601,,,
5.697785697,-4.447938576,0.011958641,,,
5.759436909,-4.447938576,0.011912857,,,
5.821088121,-4.447938576,0.011867248,,,
5.882739333,-4.447938576,0.011821814,,,
5.944390545,-4.447938576,0.011776553,,,
6.006041758,-4.447938576,0.011731466,,,
6.06769297,-4.447938576,0.011686552,,,
6.129344182,-4.447938576,0.011641809,,,
6.190995394,-4.447938576,0.011597238,,,
6.252646606,-4.447938576,0.011552837,,,
6.314297818,-4.447938576,0.011508607,,,
6.37594903,-4.447938576,0.011464545,,,
6.437600242,-4.447938576,0.011420653,,,
6.499251455,-4.447938576,0.011376928,,,
6.560902667,-4.447938576,0.011333371,,,
6.622553879,-4.447938576,0.011289981,,,
6.684205091,-4.447938576,0.011246757,,,
6.745856303,-4.447938576,0.011203698,,,
6.807507515,-4.447938576,0.011160804,,,
6.869158727,-4.447938576,0.011118074,,,
6.930809939,-4.447938576,0.011075508,,,
6.992461152,-4.447938576,0.011033105,,,
7.054112364,-4.447938576,0.010990864,,,
7.115763576,-4.447938576,0.010948785,,,
7.177414788,-4.447938576,0.010906867,,,
7.239066,-4.447938576,0.01086511,,,
7.300717212,-4.447938576,0.010823512,,,
7.362368424,-4.447938576,0.010782074,,,
7.424019636,-4.447938576,0.010740794,,,
7.485670848,-4.447938576,0.010699672,,,
7.547322061,-4.447938576,0.010658708,,,
7.608973273,-4.447938576,0.010617901,,,
7.670624485,-4.447938576,0.01057725,,,
7.732275697,-4.447938576,0.010536754,,,
7.793926909,-4.447938576,0.010496414,,,
7.855578121,-4.447938576,0.010456228,,,
7.917229333,-4.447938576,0.010416196,,,
7.978880545,-4.447938576,0.010376317,,,
8.040531758,-4.447938576,0.01033659,,,
8.10218297,-4.447938576,0.010297016,,,
8.163834182,-4.447938576,0.010257594,,,
8.225485394,-4.447938576,0.010218322,,,
8.287136606,-4.447938576,0.010179201,,,
8.348787818,-4.447938576,0.010140229,,,
8.41043903,-4.447938576,0.010101407,,,
8.472090242,-4.447938576,0.010062733,,,
8.533741455,-4.447938576,0.010024207,,,
