est.E_PC1,est.Spatial,est.beta,E_PC1,Spatial,BD
-4.696132,-2.352044,0.015777991,-1.989466216,0.20229351,0.009693556
-4.613400859,-2.352044,0.015675983,-2.586772026,0.20229351,0.008994834
-4.530669717,-2.352044,0.015574634,-3.296324033,0.20229351,0.006863772
-4.447938576,-2.352044,0.01547394,-0.921941515,-2.196807688,0.016239672
-4.365207434,-2.352044,0.015373898,-2.80253119,-1.502966421,0.016140126
-4.282476293,-2.352044,0.015274502,-1.193652377,-1.224617394,0.006912192
-4.199745152,-2.352044,0.015175749,-1.292344596,0.20229351,0.010736344
-4.11701401,-2.352044,0.015077634,0.870551281,2.346372778,0.010855027
-4.034282869,-2.352044,0.014980153,2.723766836,1.263723302,0.0084948
-3.951551727,-2.352044,0.014883303,0.474787161,1.250878503,0.009221001
-3.868820586,-2.352044,0.014787079,0.648530084,1.0289624,0.010692385
-3.786089444,-2.352044,0.014691477,1.080796119,0.700694378,0.008524988
-3.703358303,-2.352044,0.014596494,2.058651584,2.081910545,0.006838596
-3.620627162,-2.352044,0.014502124,1.093342909,0.517036371,0.008403045
-3.53789602,-2.352044,0.014408364,1.784961384,-0.53789883,0.009299404
-3.455164879,-2.352044,0.014315211,1.553237929,-1.327017682,0.007800836
-3.372433737,-2.352044,0.01422266,1.674885481,-1.335640818,0.011867118
-3.289702596,-2.352044,0.014130707,0.119521185,-1.873803486,0.009608436
-3.206971455,-2.352044,0.014039349,-0.493680313,2.442159324,0.006213114
-3.124240313,-2.352044,0.013948581,1.096161359,2.055755577,0.005295628
-3.041509172,-2.352044,0.0138584,1.058998183,1.764569718,0.00736426
-2.95877803,-2.352044,0.013768802,0.627149464,2.319485486,0.007755195
-2.876046889,-2.352044,0.013679784,0.444447221,1.492564592,0.006276693
-2.793315747,-2.352044,0.013591341,-0.036037606,0.794995786,0.009200088
-2.710584606,-2.352044,0.01350347,2.038436286,1.686103732,0.011875597
-2.627853465,-2.352044,0.013416167,1.856968152,0.422892536,0.008383041
-2.545122323,-2.352044,0.013329428,0.730541144,-0.543823854,0.008739841
-2.462391182,-2.352044,0.01324325,1.314555618,-0.489209182,0.006284604
-2.37966004,-2.352044,0.01315763,0.456111475,-0.534404581,0.009036288
-2.296928899,-2.352044,0.013072563,0.525357458,-0.556900427,0.007106355
-2.214197758,-2.352044,0.012988045,0.394825158,-0.08614838,0.006912156
-2.131466616,-2.352044,0.012904075,0.118197013,-0.392184885,0.011433426
-2.048735475,-2.352044,0.012820647,-0.187854543,-0.774360884,0.011152682
-1.966004333,-2.352044,0.012737758,-1.119998594,-0.992205052,0.010735086
-1.883273192,-2.352044,0.012655406,-1.225666196,-1.403062153,0.013297827
-1.800542051,-2.352044,0.012573586,-0.282087957,-1.63615839,0.009403788
-1.717810909,-2.352044,0.012492295,-0.522575597,-1.658197854,0.013706838
-1.635079768,-2.352044,0.012411529,-4.303147717,-1.788673975,0.014195951
-1.552348626,-2.352044,0.012331286,-2.490700011,-2.123197134,0.012288265
-1.469617485,-2.352044,0.012251561,2.152960396,1.319387752,0.004910193
-1.386886343,-2.352044,0.012172352,1.966840372,2.788624494,0.008710144
-1.304155202,-2.352044,0.012093655,1.78117294,2.23708901,0.009525409
-1.221424061,-2.352044,0.012015466,1.165768654,0.233111892,0.008701582
-1.138692919,-2.352044,0.011937784,0.910898279,-0.020137342,0.006934986
-1.055961778,-2.352044,0.011860603,-0.247873184,-0.032014447,0.00661485
-0.973230636,-2.352044,0.011783922,-0.332748789,-0.197749274,0.010314288
-0.890499495,-2.352044,0.011707736,-2.408773454,-0.610010843,0.015027118
