"","Spatial","Com.Size.Gradient","SD"
"1",-2.352044,3.170086,4.56016617435769
"101",-2.25714166666667,3.170086,4.65526240569496
"201",-2.16223933333333,3.170086,4.75035863703223
"301",-2.067337,3.170086,4.8454548683695
"401",-1.97243466666667,3.170086,4.94055109970676
"501",-1.87753233333333,3.170086,5.03564733104403
"601",-1.78263,3.170086,5.1307435623813
"701",-1.68772766666667,3.170086,5.22583979371857
"801",-1.59282533333333,3.170086,5.32093602505584
"901",-1.497923,3.170086,5.41603225639311
"1001",-1.40302066666667,3.170086,5.51112848773037
"1101",-1.30811833333333,3.170086,5.60622471906764
"1201",-1.213216,3.170086,5.70132095040491
"1301",-1.11831366666667,3.170086,5.79641718174218
"1401",-1.02341133333333,3.170086,5.89151341307945
"1501",-0.928509,3.170086,5.98660964441672
"1601",-0.833606666666666,3.170086,6.08170587575399
"1701",-0.738704333333333,3.170086,6.17680210709125
"1801",-0.643802,3.170086,6.27189833842852
"1901",-0.548899666666666,3.170086,6.36699456976579
"2001",-0.453997333333333,3.170086,6.46209080110306
"2101",-0.359095,3.170086,6.55718703244033
"2201",-0.264192666666666,3.170086,6.6522832637776
"2301",-0.169290333333333,3.170086,6.74737949511487
"2401",-0.0743879999999995,3.170086,6.84247572645213
"2501",0.0205143333333337,3.170086,6.9375719577894
"2601",0.115416666666667,3.170086,7.03266818912667
"2701",0.210319,3.170086,7.12776442046394
"2801",0.305221333333334,3.170086,7.22286065180121
"2901",0.400123666666667,3.170086,7.31795688313847
"3001",0.495026,3.170086,7.41305311447574
"3101",0.589928333333334,3.170086,7.50814934581301
"3201",0.684830666666667,3.170086,7.60324557715028
"3301",0.779733,3.170086,7.69834180848755
"3401",0.874635333333334,3.170086,7.79343803982482
"3501",0.969537666666667,3.170086,7.88853427116208
"3601",1.06444,3.170086,7.98363050249935
"3701",1.15934233333333,3.170086,8.07872673383662
"3801",1.25424466666667,3.170086,8.17382296517389
"3901",1.349147,3.170086,8.26891919651116
"4001",1.44404933333333,3.170086,8.36401542784843
"4101",1.53895166666667,3.170086,8.4591116591857
"4201",1.633854,3.170086,8.55420789052296
"4301",1.72875633333333,3.170086,8.64930412186023
"4401",1.82365866666667,3.170086,8.7444003531975
"4501",1.918561,3.170086,8.83949658453477
"4601",2.01346333333333,3.170086,8.93459281587204
"4701",2.10836566666667,3.170086,9.02968904720931
"4801",2.203268,3.170086,9.12478527854657
"4901",2.29817033333333,3.170086,9.21988150988384
"5001",2.39307266666667,3.170086,9.31497774122111
"5101",2.487975,3.170086,9.41007397255838
"5201",2.58287733333333,3.170086,9.50517020389565
"5301",2.67777966666667,3.170086,9.60026643523292
"5401",2.772682,3.170086,9.69536266657019
"5501",2.86758433333333,3.170086,9.79045889790745
"5601",2.96248666666667,3.170086,9.88555512924472
"5701",3.057389,3.170086,9.98065136058199
"5801",3.15229133333333,3.170086,10.0757475919193
"5901",3.24719366666667,3.170086,10.1708438232565
"6001",3.342096,3.170086,10.2659400545938
"6101",3.43699833333333,3.170086,10.3610362859311
"6201",3.53190066666667,3.170086,10.4561325172683
"6301",3.626803,3.170086,10.5512287486056
"6401",3.72170533333333,3.170086,10.6463249799429
"6501",3.81660766666667,3.170086,10.7414212112801
"6601",3.91151,3.170086,10.8365174426174
"6701",4.00641233333333,3.170086,10.9316136739547
"6801",4.10131466666667,3.170086,11.0267099052919
"6901",4.196217,3.170086,11.1218061366292
"7001",4.29111933333333,3.170086,11.2169023679665
"7101",4.38602166666667,3.170086,11.3119985993037
"7201",4.480924,3.170086,11.407094830641
